images,values
images/000448.png,2.207
images/000449.png,2.12
images/000450.png,2.714
images/000451.png,2.688
images/000452.png,2.778
images/000453.png,3.325
images/000454.png,3.389
images/000455.png,2.875
images/000456.png,3.846
images/000457.png,3.714
images/000458.png,3.5
images/000459.png,5.00001
images/000460.png,1.75
images/000461.png,2.417
images/000462.png,2.167
images/000463.png,2.113
images/000464.png,2.102
images/000465.png,1.964
images/000466.png,1.917
images/000467.png,1.823
images/000468.png,1.75
images/000469.png,1.659
images/000470.png,1.569
images/000471.png,1.643
images/000472.png,1.5
images/000473.png,1.505
images/000474.png,1.699
images/000475.png,1.474
images/000476.png,1.527
images/000477.png,1.827
images/000478.png,1.793
images/000479.png,1.577
images/000480.png,1.531
images/000481.png,2.5
images/000482.png,2.063
images/000483.png,2.188
images/000484.png,1.982
images/000485.png,2.536
images/000486.png,2.574
images/000487.png,2.895
images/000488.png,2.417
images/000489.png,4.896
images/000490.png,4.462
images/000491.png,4.563
images/000492.png,3.368
images/000493.png,5.00001
images/000494.png,5.00001
images/000495.png,3.769
images/000496.png,3.096
images/000497.png,1.823
images/000498.png,1.727
images/000499.png,1.508
images/000500.png,1.536
images/000501.png,1.063
images/000502.png,1.423
images/000503.png,1.194
images/000504.png,1.479
images/000505.png,1.329
images/000506.png,1.325
images/000507.png,1.269
images/000508.png,1.438
images/000509.png,5.00001
images/000510.png,5.00001
images/000511.png,5.00001
images/000512.png,5.00001
images/000513.png,4.661
images/000514.png,5.00001
images/000515.png,4.578
images/000516.png,4.716
images/000517.png,5.00001
images/000518.png,3.986
images/000519.png,3.407
images/000520.png,2.899
images/000521.png,3.353
images/000522.png,3.33
images/000523.png,2.41
images/000524.png,1.896
images/000525.png,2.063
images/000526.png,2.157
images/000527.png,2.102
images/000528.png,2.088
images/000529.png,1.979
images/000530.png,2.013
images/000531.png,1.908
images/000532.png,2.079
images/000533.png,2.153
images/000534.png,2.129
images/000535.png,2.927
images/000536.png,2.75
images/000537.png,2.0
images/000538.png,1.734
images/000539.png,1.022
images/000540.png,2.208
images/000541.png,2.428
images/000542.png,2.654
images/000543.png,2.19
images/000544.png,2.821
images/000545.png,3.72
images/000546.png,2.258
images/000547.png,2.208
images/000548.png,2.345
images/000549.png,2.542
images/000550.png,3.518
images/000551.png,2.75
images/000552.png,4.054
images/000553.png,2.281
images/000554.png,2.34
images/000555.png,1.625
images/000556.png,2.434
images/000557.png,2.738
images/000558.png,2.485
images/000559.png,2.44
images/000560.png,2.409
images/000561.png,3.063
images/000562.png,2.4
images/000563.png,2.471
images/000564.png,2.866
images/000565.png,2.667
images/000566.png,2.298
images/000567.png,2.293
images/000568.png,2.284
images/000569.png,2.062
images/000570.png,3.507
images/000571.png,2.31
images/000572.png,2.529
images/000573.png,3.539
images/000574.png,2.917
images/000575.png,1.0
images/000576.png,3.416
images/000577.png,4.125
images/000578.png,2.486
images/000579.png,2.549
images/000580.png,2.415
images/000581.png,2.952
images/000582.png,3.404
images/000583.png,2.747
images/000584.png,2.386
images/000585.png,2.664
images/000586.png,3.302
images/000587.png,2.068
images/000588.png,2.092
images/000589.png,1.958
images/000590.png,2.535
images/000591.png,2.418
images/000592.png,2.525
images/000593.png,2.639
images/000594.png,2.27
images/000595.png,2.209
images/000596.png,2.593
images/000597.png,2.325
images/000598.png,2.316
images/000599.png,2.094
images/000600.png,2.232
images/000601.png,2.099
images/000602.png,2.082
images/000603.png,2.038
images/000604.png,1.957
images/000605.png,1.905
images/000606.png,1.81
images/000607.png,1.849
images/000608.png,1.908
images/000609.png,2.422
images/000610.png,1.883
images/000611.png,1.835
images/000612.png,2.042
images/000613.png,2.519
images/000614.png,1.875
images/000615.png,1.982
images/000616.png,2.19
images/000617.png,2.75
images/000618.png,2.454
images/000619.png,1.775
images/000620.png,1.716
images/000621.png,1.833
images/000622.png,1.75
images/000623.png,1.567
images/000624.png,1.575
images/000625.png,1.798
images/000626.png,2.055
images/000627.png,1.789
images/000628.png,2.625
images/000629.png,1.65
images/000630.png,1.597
images/000631.png,1.583
images/000632.png,1.448
images/000633.png,1.663
images/000634.png,1.91
images/000635.png,1.75
images/000636.png,1.375
images/000637.png,1.417
images/000638.png,2.109
images/000639.png,1.983
images/000640.png,1.574
images/000641.png,2.647
images/000642.png,2.184
images/000643.png,2.351
images/000644.png,3.418
images/000645.png,3.673
images/000646.png,2.435
images/000647.png,1.679
images/000648.png,3.712
images/000649.png,2.189
images/000650.png,2.027
images/000651.png,1.862
images/000652.png,1.889
images/000653.png,1.8
images/000654.png,2.027
images/000655.png,1.817
images/000656.png,1.668
images/000657.png,1.837
images/000658.png,2.18
images/000659.png,1.915
images/000660.png,1.947
images/000661.png,1.872
images/000662.png,2.231
images/000663.png,2.713
images/000664.png,1.941
images/000665.png,1.904
images/000666.png,1.891
images/000667.png,1.846
images/000668.png,1.973
images/000669.png,1.926
images/000670.png,1.922
images/000671.png,1.946
images/000672.png,1.935
images/000673.png,2.026
images/000674.png,0.833
images/000675.png,2.126
images/000676.png,1.878
images/000677.png,2.057
images/000678.png,1.929
images/000679.png,2.052
images/000680.png,2.134
images/000681.png,1.836
images/000682.png,1.784
images/000683.png,2.192
images/000684.png,1.831
images/000685.png,1.571
images/000686.png,1.578
images/000687.png,1.617
images/000688.png,1.521
images/000689.png,1.449
images/000690.png,1.799
images/000691.png,1.791
images/000692.png,1.599
images/000693.png,1.614
images/000694.png,1.704
images/000695.png,1.375
images/000696.png,1.784
images/000697.png,1.552
images/000698.png,1.609
images/000699.png,1.673
images/000700.png,3.4
images/000701.png,4.31
images/000702.png,3.011
images/000703.png,2.419
images/000704.png,1.625
images/000705.png,2.992
images/000706.png,3.155
images/000707.png,2.168
images/000708.png,2.181
images/000709.png,1.703
images/000710.png,2.75
images/000711.png,1.841
images/000712.png,1.6
images/000713.png,1.75
images/000714.png,1.975
images/000715.png,1.5
images/000716.png,2.056
images/000717.png,1.703
images/000718.png,1.909
images/000719.png,1.969
images/000720.png,1.74
images/000721.png,1.702
images/000722.png,1.809
images/000723.png,1.505
images/000724.png,1.671
images/000725.png,1.489
images/000726.png,1.964
images/000727.png,1.911
images/000728.png,1.875
images/000729.png,1.806
images/000730.png,1.828
images/000731.png,1.793
images/000732.png,1.794
images/000733.png,2.103
images/000734.png,1.923
images/000735.png,1.981
images/000736.png,1.962
images/000737.png,1.816
images/000738.png,1.869
images/000739.png,1.883
images/000740.png,1.84
images/000741.png,1.847
images/000742.png,1.799
images/000743.png,1.672
images/000744.png,1.654
images/000745.png,1.54
images/000746.png,1.535
images/000747.png,1.354
images/000748.png,1.583
images/000749.png,2.407
images/000750.png,1.807
images/000751.png,2.306
images/000752.png,2.108
images/000753.png,1.653
images/000754.png,2.542
images/000755.png,3.326
images/000756.png,3.5
images/000757.png,1.612
images/000758.png,1.793
images/000759.png,1.543
images/000760.png,1.618
images/000761.png,1.619
images/000762.png,1.654
images/000763.png,1.666
images/000764.png,1.497
images/000765.png,1.621
images/000766.png,1.526
images/000767.png,1.952
images/000768.png,1.906
images/000769.png,1.938
images/000770.png,2.006
images/000771.png,1.5
images/000772.png,1.853
images/000773.png,1.727
images/000774.png,1.741
images/000775.png,1.944
images/000776.png,2.067
images/000777.png,2.045
images/000778.png,1.75
images/000779.png,1.375
images/000780.png,1.872
images/000781.png,1.736
images/000782.png,1.63
images/000783.png,3.316
images/000784.png,1.976
images/000785.png,1.979
images/000786.png,2.281
images/000787.png,1.895
images/000788.png,1.842
images/000789.png,1.809
images/000790.png,1.72
images/000791.png,1.779
images/000792.png,1.731
images/000793.png,1.726
images/000794.png,1.821
images/000795.png,1.795
images/000796.png,1.76
images/000797.png,1.926
images/000798.png,1.827
images/000799.png,1.349
images/000800.png,1.576
images/000801.png,1.909
images/000802.png,1.582
images/000803.png,3.5
images/000804.png,1.582
images/000805.png,1.461
images/000806.png,2.267
images/000807.png,1.987
images/000808.png,2.212
images/000809.png,2.085
images/000810.png,2.042
images/000811.png,1.932
images/000812.png,2.095
images/000813.png,1.649
images/000814.png,1.614
images/000815.png,1.87
images/000816.png,1.904
images/000817.png,1.566
images/000818.png,1.573
images/000819.png,1.681
images/000820.png,1.776
images/000821.png,2.089
images/000822.png,1.692
images/000823.png,1.639
images/000824.png,1.647
images/000825.png,1.569
images/000826.png,1.688
images/000827.png,1.741
images/000828.png,2.065
images/000829.png,2.039
images/000830.png,2.17
images/000831.png,1.596
images/000832.png,1.598
images/000833.png,1.543
images/000834.png,1.496
images/000835.png,1.886
images/000836.png,2.385
images/000837.png,2.353
images/000838.png,2.614
images/000839.png,2.344
images/000840.png,2.317
images/000841.png,1.563
images/000842.png,2.22
images/000843.png,2.544
images/000844.png,2.443
images/000845.png,2.47
images/000846.png,2.365
images/000847.png,1.514
images/000848.png,2.137
images/000849.png,2.436
images/000850.png,2.125
images/000851.png,2.147
images/000852.png,2.132
images/000853.png,2.56
images/000854.png,2.375
images/000855.png,1.781
images/000856.png,2.318
images/000857.png,1.479
images/000858.png,1.917
images/000859.png,2.476
images/000860.png,2.835
images/000861.png,2.169
images/000862.png,2.825
images/000863.png,2.956
images/000864.png,2.818
images/000865.png,2.698
images/000866.png,2.312
images/000867.png,3.183
images/000868.png,2.534
images/000869.png,2.782
images/000870.png,3.0
images/000871.png,2.735
images/000872.png,2.234
images/000873.png,2.145
images/000874.png,2.202
images/000875.png,2.403
images/000876.png,1.58
images/000877.png,2.242
images/000878.png,1.772
images/000879.png,2.161
images/000880.png,2.697
images/000881.png,2.312
images/000882.png,1.625
images/000883.png,2.54
images/000884.png,1.962
images/000885.png,1.894
images/000886.png,2.208
images/000887.png,2.138
images/000888.png,4.429
images/000889.png,3.334
images/000890.png,3.524
images/000891.png,3.053
images/000892.png,2.596
images/000893.png,2.489
images/000894.png,3.56
images/000895.png,2.36
images/000896.png,2.188
images/000897.png,2.28
images/000898.png,2.359
images/000899.png,2.032
images/000900.png,1.97
images/000901.png,2.364
images/000902.png,2.232
images/000903.png,2.227
images/000904.png,2.25
images/000905.png,2.401
images/000906.png,2.279
images/000907.png,2.686
images/000908.png,2.751
images/000909.png,2.563
images/000910.png,3.324
images/000911.png,2.876
images/000912.png,2.989
images/000913.png,2.876
images/000914.png,2.222
images/000915.png,2.326
images/000916.png,2.583
images/000917.png,2.309
images/000918.png,1.969
images/000919.png,2.235
images/000920.png,2.239
images/000921.png,2.435
images/000922.png,4.511
images/000923.png,5.00001
images/000924.png,1.931
images/000925.png,2.644
images/000926.png,2.469
images/000927.png,3.373
images/000928.png,2.848
images/000929.png,2.173
images/000930.png,2.917
images/000931.png,2.238
images/000932.png,2.231
images/000933.png,2.113
images/000934.png,2.185
images/000935.png,1.563
images/000936.png,2.482
images/000937.png,1.86
images/000938.png,1.782
images/000939.png,1.904
images/000940.png,2.103
images/000941.png,2.08
images/000942.png,1.833
images/000943.png,2.457
images/000944.png,2.422
images/000945.png,1.817
images/000946.png,2.994
images/000947.png,2.195
images/000948.png,2.318
images/000949.png,2.213
images/000950.png,2.138
images/000951.png,2.06
images/000952.png,2.711
images/000953.png,3.365
images/000954.png,3.156
images/000955.png,5.00001
images/000956.png,2.854
images/000957.png,3.23
images/000958.png,2.919
images/000959.png,2.256
images/000960.png,2.596
images/000961.png,2.629
images/000962.png,2.573
images/000963.png,2.592
images/000964.png,3.397
images/000965.png,3.372
images/000966.png,3.341
images/000967.png,3.115
images/000968.png,2.969
images/000969.png,2.479
images/000970.png,3.004
images/000971.png,3.324
images/000972.png,3.898
images/000973.png,2.33
images/000974.png,2.385
images/000975.png,2.333
images/000976.png,2.313
images/000977.png,4.758
images/000978.png,3.932
images/000979.png,2.472
images/000980.png,2.294
images/000981.png,2.825
images/000982.png,3.006
images/000983.png,2.932
images/000984.png,2.785
images/000985.png,3.529
images/000986.png,4.0
images/000987.png,3.75
images/000988.png,3.137
images/000989.png,1.393
images/000990.png,3.275
images/000991.png,4.306
images/000992.png,1.25
images/000993.png,4.5
images/000994.png,2.002
images/000995.png,1.924
images/000996.png,4.188
images/000997.png,2.168
images/000998.png,2.155
images/000999.png,2.277
images/001000.png,1.844
images/001001.png,1.584
images/001002.png,1.746
images/001003.png,1.684
images/001004.png,1.884
images/001005.png,2.567
images/001006.png,1.838
images/001007.png,1.834
images/001008.png,1.775
images/001009.png,1.869
images/001010.png,2.389
images/001011.png,1.725
images/001012.png,1.792
images/001013.png,2.044
images/001014.png,2.094
images/001015.png,2.642
images/001016.png,3.5
images/001017.png,1.998
images/001018.png,2.11
images/001019.png,2.011
images/001020.png,1.93
images/001021.png,2.45
images/001022.png,1.176
images/001023.png,0.979
images/001024.png,1.406
images/001025.png,1.209
images/001026.png,1.19
images/001027.png,1.292
images/001028.png,0.991
images/001029.png,1.089
images/001030.png,1.117
images/001031.png,0.689
images/001032.png,0.964
images/001033.png,1.167
images/001034.png,1.238
images/001035.png,0.979
images/001036.png,1.298
images/001037.png,1.213
images/001038.png,1.072
images/001039.png,1.219
images/001040.png,1.134
images/001041.png,0.991
images/001042.png,1.03
images/001043.png,1.142
images/001044.png,1.441
images/001045.png,1.286
images/001046.png,1.572
images/001047.png,1.185
images/001048.png,1.167
images/001049.png,1.348
images/001050.png,1.099
images/001051.png,1.443
images/001052.png,1.236
images/001053.png,1.126
images/001054.png,1.073
images/001055.png,1.178
images/001056.png,0.899
images/001057.png,1.023
images/001058.png,0.873
images/001059.png,1.426
images/001060.png,1.531
images/001061.png,1.266
images/001062.png,1.183
images/001063.png,1.47
images/001064.png,0.781
images/001065.png,0.858
images/001066.png,0.845
images/001067.png,1.375
images/001068.png,0.889
images/001069.png,1.202
images/001070.png,0.745
images/001071.png,0.851
images/001072.png,1.303
images/001073.png,1.252
images/001074.png,1.114
images/001075.png,0.97
images/001076.png,1.226
images/001077.png,1.163
images/001078.png,1.792
images/001079.png,0.858
images/001080.png,0.948
images/001081.png,2.0
images/001082.png,1.125
images/001083.png,0.69
images/001084.png,0.55
images/001085.png,0.779
images/001086.png,0.988
images/001087.png,0.787
images/001088.png,0.813
images/001089.png,0.603
images/001090.png,0.663
images/001091.png,1.167
images/001092.png,1.597
images/001093.png,1.392
images/001094.png,0.896
images/001095.png,1.531
images/001096.png,0.875
images/001097.png,1.586
images/001098.png,0.951
images/001099.png,0.938
images/001100.png,0.953
images/001101.png,1.413
images/001102.png,0.675
images/001103.png,0.73
images/001104.png,1.196
images/001105.png,0.932
images/001106.png,1.179
images/001107.png,0.972
images/001108.png,0.976
images/001109.png,0.953
images/001110.png,1.077
images/001111.png,1.029
images/001112.png,0.883
images/001113.png,0.865
images/001114.png,0.58
images/001115.png,0.84
images/001116.png,0.895
images/001117.png,0.934
images/001118.png,1.152
images/001119.png,1.057
images/001120.png,0.973
images/001121.png,1.086
images/001122.png,1.049
images/001123.png,1.102
images/001124.png,1.038
images/001125.png,0.808
images/001126.png,0.873
images/001127.png,0.855
images/001128.png,0.85
images/001129.png,0.935
images/001130.png,0.967
images/001131.png,1.097
images/001132.png,0.858
images/001133.png,0.928
images/001134.png,0.705
images/001135.png,1.218
images/001136.png,1.026
images/001137.png,1.012
images/001138.png,1.683
images/001139.png,1.261
images/001140.png,0.838
images/001141.png,0.926
images/001142.png,1.112
images/001143.png,0.875
images/001144.png,0.875
images/001145.png,0.947
images/001146.png,0.625
images/001147.png,0.833
images/001148.png,0.857
images/001149.png,0.795
images/001150.png,0.536
images/001151.png,0.652
images/001152.png,0.841
images/001153.png,1.423
images/001154.png,0.938
images/001155.png,0.908
images/001156.png,0.918
images/001157.png,0.975
images/001158.png,0.912
images/001159.png,0.738
images/001160.png,0.864
images/001161.png,0.621
images/001162.png,0.722
images/001163.png,0.576
images/001164.png,0.583
images/001165.png,0.517
images/001166.png,0.579
images/001167.png,0.531
images/001168.png,0.561
images/001169.png,0.58
images/001170.png,0.567
images/001171.png,0.576
images/001172.png,0.633
images/001173.png,0.598
images/001174.png,0.652
images/001175.png,0.425
images/001176.png,0.451
images/001177.png,0.394
images/001178.png,0.503
images/001179.png,0.538
images/001180.png,0.539
images/001181.png,0.418
images/001182.png,0.889
images/001183.png,0.826
images/001184.png,0.636
images/001185.png,0.594
images/001186.png,0.606
images/001187.png,0.571
images/001188.png,0.49
images/001189.png,0.804
images/001190.png,0.962
images/001191.png,0.6
images/001192.png,0.613
images/001193.png,0.738
images/001194.png,0.863
images/001195.png,0.864
images/001196.png,0.846
images/001197.png,0.735
images/001198.png,0.562
images/001199.png,0.57
images/001200.png,0.639
images/001201.png,0.56
images/001202.png,0.63
images/001203.png,0.855
images/001204.png,0.813
images/001205.png,0.576
images/001206.png,0.594
images/001207.png,0.819
images/001208.png,0.821
images/001209.png,1.16
images/001210.png,1.161
images/001211.png,0.949
images/001212.png,0.922
images/001213.png,0.799
images/001214.png,1.33
images/001215.png,1.226
images/001216.png,0.904
images/001217.png,0.932
images/001218.png,1.259
images/001219.png,1.331
images/001220.png,1.306
images/001221.png,1.04
images/001222.png,1.016
images/001223.png,0.926
images/001224.png,1.223
images/001225.png,1.125
images/001226.png,0.866
images/001227.png,0.774
images/001228.png,0.919
images/001229.png,1.009
images/001230.png,0.947
images/001231.png,0.848
images/001232.png,1.399
images/001233.png,1.214
images/001234.png,1.558
images/001235.png,1.115
images/001236.png,1.235
images/001237.png,1.137
images/001238.png,1.038
images/001239.png,1.083
images/001240.png,0.775
images/001241.png,0.658
images/001242.png,0.675
images/001243.png,0.592
images/001244.png,0.72
images/001245.png,0.928
images/001246.png,1.125
images/001247.png,0.75
images/001248.png,1.08
images/001249.png,0.655
images/001250.png,0.615
images/001251.png,0.627
images/001252.png,0.688
images/001253.png,0.691
images/001254.png,0.758
images/001255.png,0.75
images/001256.png,1.125
images/001257.png,1.924
images/001258.png,2.094
images/001259.png,1.838
images/001260.png,1.891
images/001261.png,1.565
images/001262.png,1.688
images/001263.png,1.628
images/001264.png,1.729
images/001265.png,1.297
images/001266.png,2.135
images/001267.png,1.194
images/001268.png,1.311
images/001269.png,1.254
